epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.484,1.34899,1.16368,1.22689,0.83964,0.8401,0.87344,0.54829,1.27374,0.84158,1.30355,0.000331502,0.000331502,0.000331502
2,365.926,1.29451,0.81204,1.18385,0.85697,0.83622,0.89759,0.6008,1.20089,0.84302,1.18249,0.000642896,0.000642896,0.000642896
3,545.945,1.28062,0.79587,1.17844,0.86899,0.76796,0.87513,0.56504,1.1923,0.89679,1.17778,0.000932289,0.000932289,0.000932289
4,723.245,1.26214,0.74669,1.16556,0.9144,0.90154,0.93589,0.63435,1.1435,0.61407,1.15437,0.000901,0.000901,0.000901
5,906.262,1.21605,0.68609,1.13798,0.94039,0.90317,0.94949,0.65278,1.11974,0.54458,1.11503,0.000868,0.000868,0.000868
6,1084.74,1.18537,0.64732,1.12956,0.93865,0.90686,0.95392,0.66648,1.08698,0.52893,1.12017,0.000835,0.000835,0.000835
7,1263.06,1.1494,0.62862,1.1067,0.93535,0.92861,0.95874,0.66984,1.08317,0.51599,1.11139,0.000802,0.000802,0.000802
8,1446.85,1.12815,0.59768,1.09943,0.94116,0.92717,0.96161,0.66612,1.07117,0.49657,1.0997,0.000769,0.000769,0.000769
9,1624.27,1.10534,0.57301,1.08265,0.9612,0.93544,0.96467,0.67957,1.0542,0.47972,1.09562,0.000736,0.000736,0.000736
10,1814.14,1.09335,0.55002,1.0767,0.96437,0.92362,0.96799,0.69252,1.03303,0.46254,1.09299,0.000703,0.000703,0.000703
11,2009.66,1.07186,0.52873,1.07194,0.95693,0.93423,0.96654,0.69186,1.02623,0.47061,1.07907,0.00067,0.00067,0.00067
12,2189.51,1.04652,0.51756,1.0501,0.96067,0.94786,0.96737,0.69151,1.05236,0.45258,1.09358,0.000637,0.000637,0.000637
13,2373.42,1.04325,0.52094,1.05134,0.96794,0.93955,0.96332,0.70404,1.00856,0.44072,1.06861,0.000604,0.000604,0.000604
14,2569.69,1.01253,0.49206,1.03648,0.96094,0.951,0.96962,0.69537,1.02229,0.44153,1.07704,0.000571,0.000571,0.000571
15,2750.46,1.01502,0.4855,1.03505,0.96448,0.9442,0.96461,0.70069,1.0192,0.43968,1.07489,0.000538,0.000538,0.000538
16,2927.71,0.99379,0.47477,1.02927,0.96853,0.95254,0.97121,0.7074,1.0128,0.42225,1.06909,0.000505,0.000505,0.000505
17,3110.78,0.96759,0.45778,1.01302,0.96934,0.96002,0.96854,0.71384,0.99285,0.41481,1.05882,0.000472,0.000472,0.000472
18,3288.46,0.96415,0.4539,1.01164,0.96638,0.94254,0.97042,0.71156,0.99007,0.4075,1.05715,0.000439,0.000439,0.000439
19,3465.86,0.95002,0.44078,1.01123,0.97356,0.95387,0.96979,0.71524,0.98914,0.41131,1.06276,0.000406,0.000406,0.000406
20,3646.62,0.93982,0.4403,1.01015,0.96654,0.95188,0.97292,0.71862,0.97501,0.4105,1.05501,0.000373,0.000373,0.000373
21,3821.26,0.92496,0.41207,1.0295,0.96028,0.95762,0.96999,0.71784,0.97107,0.40947,1.05087,0.00034,0.00034,0.00034
22,3999.53,0.90147,0.39453,1.01454,0.96922,0.96465,0.97457,0.72048,0.98402,0.4077,1.06042,0.000307,0.000307,0.000307
23,4181.83,0.8931,0.39087,1.01295,0.96497,0.9693,0.97479,0.72674,0.97475,0.39912,1.05153,0.000274,0.000274,0.000274
24,4363.93,0.87525,0.3789,0.99874,0.97503,0.9666,0.9741,0.72376,0.9876,0.40241,1.05533,0.000241,0.000241,0.000241
25,4537.38,0.86135,0.37157,1.00029,0.97008,0.96102,0.97259,0.72761,0.97361,0.39882,1.04915,0.000208,0.000208,0.000208
26,4724.07,0.84294,0.3625,0.98381,0.97554,0.9624,0.97471,0.72863,0.96849,0.39404,1.04742,0.000175,0.000175,0.000175
27,4901.62,0.8275,0.35501,0.97909,0.97586,0.96464,0.97518,0.72928,0.95824,0.39088,1.04472,0.000142,0.000142,0.000142
28,5083.44,0.80943,0.34419,0.97489,0.97933,0.96338,0.9749,0.73227,0.9546,0.38066,1.04539,0.000109,0.000109,0.000109
29,5265.62,0.80363,0.34344,0.97071,0.97736,0.96257,0.97377,0.73245,0.95293,0.37454,1.04819,7.6e-05,7.6e-05,7.6e-05
30,5442.26,0.78532,0.33479,0.96591,0.97998,0.96423,0.9767,0.73313,0.95238,0.37465,1.04599,4.3e-05,4.3e-05,4.3e-05
