epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.539,1.33485,1.27128,1.188,0.74049,0.82425,0.83888,0.54558,1.20534,0.92509,1.19077,0.000331502,0.000331502,0.000331502
2,225.824,1.25084,0.77593,1.15066,0.90889,0.86215,0.92505,0.62063,1.14362,0.94226,1.13142,0.000642896,0.000642896,0.000642896
3,331.451,1.25005,0.76724,1.14669,0.82452,0.8256,0.85326,0.57121,1.13205,0.86088,1.12537,0.000932289,0.000932289,0.000932289
4,436.615,1.23399,0.73215,1.14164,0.93606,0.87338,0.93439,0.62632,1.11851,0.6549,1.11214,0.000901,0.000901,0.000901
5,547.867,1.19939,0.67936,1.11901,0.89643,0.92871,0.96026,0.65367,1.13211,0.56017,1.10189,0.000868,0.000868,0.000868
6,658.242,1.16229,0.64083,1.10903,0.93086,0.93448,0.95853,0.66161,1.04819,0.51661,1.08832,0.000835,0.000835,0.000835
7,768.774,1.13095,0.60711,1.08672,0.94692,0.9418,0.96376,0.67562,1.05524,0.52403,1.07844,0.000802,0.000802,0.000802
8,879.075,1.11563,0.5937,1.08283,0.95802,0.93307,0.96468,0.68265,1.04437,0.48919,1.06677,0.000769,0.000769,0.000769
9,989.473,1.09497,0.56766,1.06716,0.93665,0.94432,0.96617,0.68964,1.04012,0.47708,1.06348,0.000736,0.000736,0.000736
10,1100.52,1.07529,0.54442,1.05863,0.94659,0.93877,0.96711,0.69636,1.01078,0.46607,1.06176,0.000703,0.000703,0.000703
11,1210.44,1.06667,0.52785,1.05668,0.95661,0.95369,0.96904,0.69297,1.01373,0.45825,1.05371,0.00067,0.00067,0.00067
12,1315.06,1.03681,0.51345,1.04072,0.96401,0.95946,0.97487,0.69413,1.01238,0.44769,1.05511,0.000637,0.000637,0.000637
13,1419.72,1.02658,0.51303,1.0376,0.94358,0.9555,0.9704,0.70396,1.00301,0.44328,1.0577,0.000604,0.000604,0.000604
14,1529.56,1.01263,0.48959,1.02788,0.95747,0.95874,0.96986,0.68829,1.02302,0.43674,1.05532,0.000571,0.000571,0.000571
15,1639.1,1.01216,0.483,1.02628,0.9592,0.95687,0.97153,0.70971,1.00262,0.44134,1.04665,0.000538,0.000538,0.000538
16,1749.32,0.98371,0.46965,1.01714,0.96974,0.95498,0.96893,0.70869,0.99124,0.43208,1.04839,0.000505,0.000505,0.000505
17,1858.71,0.9641,0.46089,1.00717,0.96077,0.96965,0.97177,0.71356,0.98908,0.42276,1.05194,0.000472,0.000472,0.000472
18,1968.51,0.95671,0.44941,1.00276,0.94978,0.96657,0.9745,0.71273,0.98045,0.41064,1.0415,0.000439,0.000439,0.000439
19,2078.26,0.94992,0.44347,1.00703,0.97302,0.96591,0.97563,0.71275,1.01168,0.42074,1.05469,0.000406,0.000406,0.000406
20,2189,0.93999,0.43928,1.00305,0.9636,0.963,0.97468,0.71767,0.97903,0.41386,1.03542,0.000373,0.000373,0.000373
21,2299.87,0.91744,0.40618,1.01969,0.96419,0.96515,0.97818,0.71877,0.98483,0.40646,1.03663,0.00034,0.00034,0.00034
22,2409.05,0.90382,0.39958,1.00709,0.95754,0.96132,0.97219,0.71318,0.98497,0.41381,1.04141,0.000307,0.000307,0.000307
23,2513.82,0.89271,0.38991,1.0041,0.96434,0.97093,0.97682,0.72283,0.96185,0.39058,1.03415,0.000274,0.000274,0.000274
24,2624.1,0.87276,0.3767,0.99238,0.96729,0.96801,0.97357,0.72861,0.96947,0.38833,1.03179,0.000241,0.000241,0.000241
25,2734.33,0.8633,0.37163,0.99344,0.97064,0.96807,0.97335,0.72679,0.96882,0.3889,1.03262,0.000208,0.000208,0.000208
26,2843.84,0.84394,0.36185,0.97797,0.9645,0.96895,0.97446,0.72591,0.95558,0.37774,1.03232,0.000175,0.000175,0.000175
27,2952.58,0.82961,0.35351,0.974,0.96404,0.9632,0.97329,0.72682,0.95184,0.37868,1.03322,0.000142,0.000142,0.000142
28,3063,0.80989,0.34095,0.96952,0.96995,0.96694,0.97292,0.73437,0.95081,0.36995,1.03414,0.000109,0.000109,0.000109
29,3172.59,0.80367,0.34151,0.9649,0.9718,0.96657,0.97498,0.73534,0.94927,0.36747,1.03073,7.6e-05,7.6e-05,7.6e-05
30,3282.18,0.78673,0.3369,0.96084,0.97108,0.96608,0.97482,0.73485,0.94979,0.36894,1.03116,4.3e-05,4.3e-05,4.3e-05
