epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7401,1.34172,1.30735,1.17702,0.88332,0.85646,0.89519,0.58249,1.1862,0.80823,1.17455,0.000331502,0.000331502,0.000331502
2,183.038,1.23506,0.78212,1.11458,0.85461,0.89182,0.94299,0.62416,1.14719,0.67808,1.11473,0.000642896,0.000642896,0.000642896
3,270.546,1.24545,0.76304,1.12367,0.90389,0.88719,0.93899,0.62778,1.11862,0.67447,1.10633,0.000932289,0.000932289,0.000932289
4,356.924,1.22255,0.72952,1.11482,0.93039,0.90616,0.93805,0.62955,1.15736,0.6269,1.11975,0.000901,0.000901,0.000901
5,443.441,1.18767,0.66911,1.09609,0.94952,0.92449,0.95869,0.66073,1.11795,0.56905,1.09363,0.000868,0.000868,0.000868
6,529.958,1.16351,0.6378,1.08658,0.96383,0.93767,0.96389,0.67882,1.06143,0.51895,1.07855,0.000835,0.000835,0.000835
7,616.81,1.12669,0.61293,1.0679,0.95804,0.95094,0.96637,0.67514,1.04869,0.51787,1.06341,0.000802,0.000802,0.000802
8,703.621,1.10158,0.59104,1.05843,0.97132,0.94418,0.96911,0.67781,1.05341,0.50499,1.06231,0.000769,0.000769,0.000769
9,789.674,1.09263,0.56924,1.05022,0.96919,0.92962,0.96399,0.68696,1.04925,0.47512,1.05839,0.000736,0.000736,0.000736
10,875.866,1.06947,0.5492,1.0418,0.96631,0.94065,0.96912,0.69915,1.02353,0.4688,1.05024,0.000703,0.000703,0.000703
11,962.81,1.06449,0.53509,1.04319,0.97171,0.93848,0.96805,0.69378,1.02076,0.46075,1.04262,0.00067,0.00067,0.00067
12,1050.44,1.03902,0.51849,1.02629,0.95342,0.95711,0.9715,0.7022,1.0279,0.45975,1.05224,0.000637,0.000637,0.000637
13,1137.79,1.0319,0.52299,1.025,0.96668,0.94685,0.97156,0.70371,1.0016,0.44331,1.03949,0.000604,0.000604,0.000604
14,1227.52,1.00139,0.49212,1.0097,0.96329,0.94717,0.97047,0.70607,0.99135,0.42978,1.03064,0.000571,0.000571,0.000571
15,1317.69,0.99429,0.48515,1.00634,0.94715,0.95051,0.9667,0.70857,0.99238,0.43596,1.03575,0.000538,0.000538,0.000538
16,1404,0.97638,0.47622,1.00011,0.96769,0.96298,0.9743,0.70702,1.00155,0.42848,1.03385,0.000505,0.000505,0.000505
17,1490.59,0.962,0.46785,0.99558,0.95513,0.95782,0.97373,0.71111,0.977,0.42841,1.02619,0.000472,0.000472,0.000472
18,1577.74,0.95548,0.45787,0.98897,0.9698,0.96138,0.97778,0.72145,0.96752,0.41329,1.02143,0.000439,0.000439,0.000439
19,1663.94,0.94235,0.44734,0.99132,0.97641,0.9605,0.97646,0.72275,0.96887,0.41069,1.01898,0.000406,0.000406,0.000406
20,1757.77,0.93578,0.44536,0.98979,0.9701,0.97225,0.9769,0.7188,0.96253,0.40821,1.02187,0.000373,0.000373,0.000373
21,1844.26,0.9165,0.41287,1.00696,0.97725,0.9658,0.97299,0.72564,0.97096,0.40598,1.02183,0.00034,0.00034,0.00034
22,1930.11,0.89523,0.40235,0.99399,0.97659,0.95547,0.97426,0.71552,0.97672,0.41101,1.02577,0.000307,0.000307,0.000307
23,2015.62,0.88137,0.39644,0.98992,0.97479,0.96894,0.97844,0.7269,0.95947,0.39603,1.02096,0.000274,0.000274,0.000274
24,2107.53,0.87306,0.38869,0.98026,0.9748,0.96755,0.97648,0.72753,0.97639,0.40237,1.02732,0.000241,0.000241,0.000241
25,2197.8,0.85787,0.3794,0.97791,0.97283,0.96701,0.97616,0.73046,0.96675,0.39418,1.01721,0.000208,0.000208,0.000208
26,2288.62,0.83965,0.36989,0.96444,0.97614,0.9677,0.97301,0.73324,0.95256,0.38617,1.01498,0.000175,0.000175,0.000175
27,2375.68,0.82533,0.3648,0.96243,0.9811,0.96603,0.97576,0.73397,0.95214,0.38091,1.01532,0.000142,0.000142,0.000142
28,2462.69,0.81083,0.35573,0.95759,0.98316,0.96085,0.97324,0.73131,0.9502,0.37694,1.02072,0.000109,0.000109,0.000109
29,2547.84,0.80205,0.35278,0.95322,0.97505,0.96449,0.97364,0.73233,0.94804,0.37108,1.01959,7.6e-05,7.6e-05,7.6e-05
30,2633.32,0.78694,0.34717,0.95048,0.97902,0.9672,0.97552,0.73677,0.94353,0.3698,1.01556,4.3e-05,4.3e-05,4.3e-05
