epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.756,1.59651,2.5163,1.22848,0.80869,0.77359,0.81552,0.52294,1.23826,1.13314,1.07048,0.000331502,0.000331502,0.000331502
2,126.754,1.33781,1.20148,1.08839,0.88268,0.83464,0.88325,0.58984,1.15564,0.86221,1.03633,0.000642896,0.000642896,0.000642896
3,178.805,1.29731,1.06902,1.07748,0.87467,0.87886,0.91735,0.611,1.13576,0.77917,1.01735,0.000932289,0.000932289,0.000932289
4,230.557,1.25526,0.95296,1.06364,0.90913,0.89101,0.91783,0.63528,1.08234,0.69491,1.01115,0.000901,0.000901,0.000901
5,281.475,1.22431,0.85389,1.04832,0.93777,0.90793,0.94069,0.63098,1.13325,0.67047,1.02096,0.000868,0.000868,0.000868
6,333.391,1.18864,0.79495,1.04079,0.91988,0.89927,0.93559,0.6387,1.11016,0.65797,1.0112,0.000835,0.000835,0.000835
7,384.642,1.159,0.73627,1.02761,0.93561,0.92194,0.9469,0.66164,1.06022,0.59616,0.99456,0.000802,0.000802,0.000802
8,435.623,1.14184,0.71043,1.02037,0.93547,0.92729,0.95674,0.67479,1.04928,0.57634,0.98394,0.000769,0.000769,0.000769
9,488.235,1.13152,0.67703,1.01239,0.95274,0.93144,0.95279,0.67211,1.0475,0.5682,0.98227,0.000736,0.000736,0.000736
10,540.436,1.11591,0.65186,1.01049,0.93156,0.93007,0.95152,0.67362,1.02419,0.55716,0.97683,0.000703,0.000703,0.000703
11,594.173,1.10706,0.63892,1.00731,0.95583,0.93913,0.95534,0.67363,1.02173,0.53592,0.97443,0.00067,0.00067,0.00067
12,646.574,1.08022,0.61679,0.99343,0.95664,0.94693,0.95953,0.67937,1.02862,0.5346,0.98515,0.000637,0.000637,0.000637
13,699.509,1.07928,0.61551,0.99672,0.96079,0.9355,0.95931,0.69072,1.01486,0.5184,0.97098,0.000604,0.000604,0.000604
14,752.361,1.0528,0.586,0.98455,0.9541,0.94071,0.95808,0.67969,1.04086,0.51274,0.98077,0.000571,0.000571,0.000571
15,804.228,1.05249,0.57376,0.98434,0.95708,0.94294,0.95941,0.68773,1.0045,0.5065,0.96928,0.000538,0.000538,0.000538
16,856.36,1.04414,0.571,0.97953,0.94006,0.94667,0.9606,0.68808,1.00445,0.50329,0.97003,0.000505,0.000505,0.000505
17,907.426,1.0197,0.55494,0.9714,0.9531,0.96039,0.96381,0.68956,0.99564,0.49593,0.96826,0.000472,0.000472,0.000472
18,958.835,1.02008,0.54385,0.96913,0.97798,0.93439,0.96438,0.70154,0.96538,0.48075,0.95235,0.000439,0.000439,0.000439
19,1010.14,1.00557,0.5373,0.96639,0.95282,0.93975,0.96368,0.69944,0.98965,0.4847,0.96216,0.000406,0.000406,0.000406
20,1061.74,1.00748,0.53444,0.96796,0.96275,0.94078,0.96178,0.68176,1.01911,0.47905,0.97992,0.000373,0.000373,0.000373
21,1115.13,0.98026,0.50503,0.97191,0.96195,0.94815,0.96819,0.70208,0.98121,0.46836,0.95861,0.00034,0.00034,0.00034
22,1168.15,0.95575,0.48513,0.96256,0.95231,0.96058,0.96643,0.70051,0.98948,0.47321,0.96874,0.000307,0.000307,0.000307
23,1220.62,0.94563,0.47592,0.95919,0.95842,0.95208,0.97055,0.70435,0.99019,0.46961,0.96425,0.000274,0.000274,0.000274
24,1274.42,0.93669,0.46659,0.95375,0.95876,0.95569,0.97071,0.69837,1.00695,0.46224,0.96385,0.000241,0.000241,0.000241
25,1326.97,0.92828,0.46018,0.95189,0.95565,0.95214,0.96819,0.70758,0.98125,0.44993,0.95464,0.000208,0.000208,0.000208
26,1378.64,0.91046,0.44727,0.94356,0.95592,0.96381,0.97018,0.70992,0.97702,0.44737,0.9552,0.000175,0.000175,0.000175
27,1430.87,0.90135,0.4436,0.94042,0.96626,0.95434,0.96844,0.7117,0.97726,0.44746,0.95347,0.000142,0.000142,0.000142
28,1482.95,0.88858,0.43196,0.93684,0.95756,0.96387,0.96941,0.70975,0.97192,0.43894,0.95532,0.000109,0.000109,0.000109
29,1536.34,0.8858,0.43334,0.9337,0.96357,0.95964,0.97099,0.71875,0.96162,0.43893,0.95225,7.6e-05,7.6e-05,7.6e-05
30,1589.62,0.87249,0.42791,0.93298,0.96719,0.96277,0.96913,0.71939,0.96109,0.43576,0.95027,4.3e-05,4.3e-05,4.3e-05
