epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7322,1.43667,1.62892,1.22452,0.90487,0.8345,0.91164,0.59157,1.13742,0.71045,1.09966,0.000331502,0.000331502,0.000331502
2,125.723,1.24716,0.79273,1.1128,0.90547,0.89344,0.93536,0.63506,1.10454,0.63995,1.07045,0.000642896,0.000642896,0.000642896
3,184.148,1.21812,0.75063,1.09608,0.93548,0.82533,0.92718,0.62669,1.11776,0.6831,1.07407,0.000932289,0.000932289,0.000932289
4,240.609,1.19217,0.71081,1.08345,0.93643,0.90482,0.94859,0.65915,1.08589,0.61013,1.06008,0.000901,0.000901,0.000901
5,296.797,1.17815,0.671,1.07205,0.94524,0.92976,0.9565,0.66389,1.0901,0.54955,1.06443,0.000868,0.000868,0.000868
6,353.436,1.15077,0.63605,1.06758,0.96347,0.92058,0.95858,0.67711,1.05267,0.52409,1.03828,0.000835,0.000835,0.000835
7,411.031,1.12098,0.60673,1.05194,0.94138,0.93018,0.96012,0.67317,1.03764,0.52504,1.04232,0.000802,0.000802,0.000802
8,466.641,1.10092,0.59296,1.04471,0.93634,0.94955,0.96357,0.67328,1.09334,0.52381,1.04674,0.000769,0.000769,0.000769
9,522.212,1.09164,0.57133,1.03703,0.9573,0.93705,0.96563,0.68087,1.0526,0.48862,1.03747,0.000736,0.000736,0.000736
10,579.827,1.06995,0.55084,1.0277,0.9435,0.95192,0.96782,0.70007,1.0211,0.4842,1.02622,0.000703,0.000703,0.000703
11,635.271,1.06553,0.55035,1.03102,0.96134,0.93453,0.96117,0.6897,1.02544,0.47753,1.0267,0.00067,0.00067,0.00067
12,690.981,1.04087,0.53413,1.01587,0.94419,0.96457,0.97416,0.70233,1.01322,0.46626,1.0273,0.000637,0.000637,0.000637
13,748.383,1.03136,0.53275,1.0145,0.96409,0.94787,0.96962,0.70663,0.98883,0.45526,1.01282,0.000604,0.000604,0.000604
14,805.966,1.0021,0.50612,1.00084,0.96573,0.96662,0.97079,0.70092,1.01485,0.45522,1.02372,0.000571,0.000571,0.000571
15,861.039,1.00748,0.50211,1.00228,0.96216,0.95392,0.97118,0.7168,1.02034,0.45821,1.02701,0.000538,0.000538,0.000538
16,917.568,0.99695,0.49769,0.99738,0.97852,0.95762,0.97566,0.70524,0.99092,0.43515,1.01547,0.000505,0.000505,0.000505
17,975.242,0.97453,0.48392,0.9885,0.96051,0.95301,0.97166,0.70295,1.00652,0.43963,1.01732,0.000472,0.000472,0.000472
18,1031.4,0.96426,0.47215,0.98176,0.96246,0.96875,0.97661,0.71383,0.96946,0.42958,1.01453,0.000439,0.000439,0.000439
19,1087.34,0.95441,0.46643,0.98422,0.96231,0.96925,0.97572,0.71539,0.99277,0.43484,1.01768,0.000406,0.000406,0.000406
20,1143.3,0.95021,0.46362,0.98417,0.9668,0.95722,0.97629,0.71287,0.9813,0.44022,1.007,0.000373,0.000373,0.000373
21,1200.37,0.92638,0.43481,0.99783,0.97085,0.9567,0.97398,0.72026,0.97504,0.42587,1.00396,0.00034,0.00034,0.00034
22,1254.91,0.90088,0.41925,0.98372,0.97405,0.95725,0.9764,0.71423,0.98443,0.42711,1.00609,0.000307,0.000307,0.000307
23,1308.45,0.89872,0.41627,0.98523,0.97384,0.9609,0.978,0.72001,0.98158,0.41809,1.00909,0.000274,0.000274,0.000274
24,1362.47,0.88273,0.40671,0.97356,0.9726,0.95467,0.97854,0.72001,0.98314,0.41587,1.00672,0.000241,0.000241,0.000241
25,1416.43,0.87145,0.39879,0.973,0.97445,0.95906,0.97822,0.72422,0.9728,0.41749,0.99901,0.000208,0.000208,0.000208
26,1471.55,0.85271,0.39003,0.95913,0.96023,0.96751,0.97736,0.72768,0.96687,0.41474,0.99976,0.000175,0.000175,0.000175
27,1528.12,0.84165,0.38374,0.95848,0.9705,0.96244,0.97615,0.73052,0.97177,0.40781,1.00181,0.000142,0.000142,0.000142
28,1583.54,0.82722,0.37363,0.95524,0.96568,0.97026,0.97777,0.72776,0.97102,0.40481,1.0033,0.000109,0.000109,0.000109
29,1638.09,0.82362,0.37368,0.95269,0.97071,0.96321,0.97736,0.73211,0.96024,0.40407,1.00088,7.6e-05,7.6e-05,7.6e-05
30,1692.4,0.81072,0.36967,0.948,0.97288,0.96461,0.97923,0.7348,0.961,0.40167,0.99851,4.3e-05,4.3e-05,4.3e-05
